tcpmux, 1/tcp, multiplexer
tcpmux, 1/udp, multiplexer
rje, 5/tcp, Entry
rje, 5/udp, Entry
discard, 9/tcp, null
discard, 9/udp, null
systat, 11/tcp, users
systat, 11/udp, users
qotd, 17/tcp, quote
qotd, 17/udp, quote
chargen, 19/tcp, source
chargen, 19/udp, source
ftp, 21/udp, fspd
ssh, 22/tcp, Protocol
ssh, 22/udp, Protocol
lmtp, 24/tcp, Delivery
lmtp, 24/udp, Delivery
smtp, 25/tcp, mail
smtp, 25/udp, mail
time, 37/tcp, timserver
time, 37/udp, timserver
rlp, 39/tcp, location
rlp, 39/udp, location
nameserver, 42/tcp, 116
nameserver, 42/udp, 116
nicname, 43/tcp, whois
nicname, 43/udp, whois
tacacs, 49/tcp, (TACACS)
tacacs, 49/udp, (TACACS)
re-mail-ck, 50/tcp, Protocol
re-mail-ck, 50/udp, Protocol
domain, 53/tcp, server
whois++, 63/tcp, whoispp
whois++, 63/udp, whoispp
bootps, 67/tcp, server
bootpc, 68/tcp, client
bootpc, 68/udp, dhcpc
gopher, 70/tcp, Gopher
netrjs-1, 71/tcp, Service
netrjs-1, 71/udp, Service
netrjs-2, 72/tcp, Service
netrjs-2, 72/udp, Service
netrjs-3, 73/tcp, Service
netrjs-3, 73/udp, Service
netrjs-4, 74/tcp, Service
netrjs-4, 74/udp, Service
http, 80/tcp, HTTP
http, 80/udp, Protocol
http, 80/sctp, Protocol
kerberos, 88/tcp, v5
kerberos, 88/udp, v5
hostname, 101/tcp, sri-nic
hostname, 101/udp, sri-nic
iso-tsap, 102/tcp, ISODE.
csnet-ns, 105/tcp, server
csnet-ns, 105/udp, cso
rtelnet, 107/tcp, Telnet
pop2, 109/tcp, 2
pop2, 109/udp, pop-2
pop3, 110/tcp, 3
pop3, 110/udp, pop-3
sunrpc, 111/tcp, TCP
sunrpc, 111/udp, UDP
auth, 113/tcp, ident
auth, 113/udp, ident
nntp, 119/tcp, Protocol
nntp, 119/udp, Protocol
ntp, 123/udp, Protocol
netbios-ns, 137/tcp, Service
netbios-dgm, 138/tcp, Service
netbios-ssn, 139/tcp, service
imap, 143/tcp, v2
imap, 143/udp, imap2
snmp, 161/tcp, Proto
snmp, 161/udp, Proto
snmptrap, 162/tcp, SNMPTRAP
snmptrap, 162/udp, SNMP
cmip-man, 163/tcp, (CMOT)
mailq, 174/tcp, MAILQ
mailq, 174/udp, MAILQ
xdmcp, 177/tcp, Proto
nextstep, 178/tcp, window
nextstep, 178/udp, server
bgp, 179/tcp, Proto.
prospero, 191/tcp, Prospero
irc, 194/tcp, Chat
smux, 199/tcp, Multiplexer
at-rtmp, 201/tcp, routing
at-nbp, 202/tcp, binding
at-echo, 204/tcp, echo
at-zis, 206/tcp, information
qmtp, 209/tcp, Protocol
qmtp, 209/udp, Protocol
z39.50, 210/tcp, database
z39.50, 210/udp, wais
ipx, 213/tcp, IPX
imap3, 220/tcp, Access
imap3, 220/udp, v3
link, 245/tcp, ttylink
link, 245/udp, ttylink
gist, 270/udp, messages
fatserv, 347/tcp, Server
fatserv, 347/udp, Server
rsvp_tunnel, 363/tcp, rsvp-tunnel
rsvp_tunnel, 363/udp, rsvp-tunnel
odmr, 366/tcp, fetchmail
odmr, 366/udp, fetchmail
rpc2portmap, 369/udp, portmapper
codaauth2, 370/udp, server
ulistproc, 372/tcp, Listserv
ulistproc, 372/udp, ulistserv
osb-sd, 400/tcp, Backup
osb-sd, 400/udp, Backup
svrloc, 427/tcp, Location
svrloc, 427/udp, Location
